ColCollectorRef_key,ecatalogue_key,irn,NamFullName,NamBriefName,NamFirst,NamMiddle,NamLast,NamPartyType,NamSource,NamExternalReferences_tab,NamOrganisationOtherNames_tab,NamOtherNames_tab,NamRoles_tab
1,1,"29544","Ferdinand I. X. Rugel","F. Rugel","Ferdinand","Ignatius Xavier","Rugel","Person","Botany Master","ASA Botanist ID 166511 | 137613","","","Collector (Botany)"
2,2,"19326","Charles J. Chamberlain","C. J. Chamberlain","Charles","Joseph","Chamberlain","Person","Botany Pilot Data","ASA 132274","","",""
3,3,"37834","Heman A. van Hermann","H. A. van Hermann","Heman","Adolf","van Hermann","Person","Botany Master","","","",""
4,4,"28153","Erik L. Ekman","E. L. Ekman","Erik","Leonard","Ekman","Person","Botany Master","ASA Botanist ID 149789","","E. Ekman","Collector (Botany)"
5,5,"14211","Allen H. Curtiss","A. H. Curtiss","Allen","Hiram","Curtiss","Person","Botany Master","ASA Botanist ID 137553","","A. Curtiss","Collector (Botany)"
6,6,"14211","Allen H. Curtiss","A. H. Curtiss","Allen","Hiram","Curtiss","Person","Botany Master","ASA Botanist ID 137553","","A. Curtiss","Collector (Botany)"
7,7,"21061","Charles (Carlos) Wright","C. Wright","Charles (Carlos)","","Wright","Person","Botany Master","ASA Botanist ID 150088","","Ch. Wright
Chas. Wright","Collector (Botany)"
8,8,"41180","John A. Shafer","J. A. Shafer","John","Adolph","Shafer","Person","Botany Master","ASA Botanist ID 101219 | 149307","","","Collector (Botany)"
9,9,"28153","Erik L. Ekman","E. L. Ekman","Erik","Leonard","Ekman","Person","Botany Master","ASA Botanist ID 149789","","E. Ekman","Collector (Botany)"
10,10,"180274","J. G. Jack","J. G. Jack","J.","G.","Jack","Person","Action Master","","","",""
11,11,"21061","Charles (Carlos) Wright","C. Wright","Charles (Carlos)","","Wright","Person","Botany Master","ASA Botanist ID 150088","","Ch. Wright
Chas. Wright","Collector (Botany)"
12,12,"14211","Allen H. Curtiss","A. H. Curtiss","Allen","Hiram","Curtiss","Person","Botany Master","ASA Botanist ID 137553","","A. Curtiss","Collector (Botany)"
13,13,"14211","Allen H. Curtiss","A. H. Curtiss","Allen","Hiram","Curtiss","Person","Botany Master","ASA Botanist ID 137553","","A. Curtiss","Collector (Botany)"
14,14,"47183","José Blain","J. Blain","José","","Blain","Person","Botany Master","ASA Botanist ID 143438","","Don José Blain",""
15,15,"28153","Erik L. Ekman","E. L. Ekman","Erik","Leonard","Ekman","Person","Botany Master","ASA Botanist ID 149789","","E. Ekman","Collector (Botany)"
16,16,"37834","Heman A. van Hermann","H. A. van Hermann","Heman","Adolf","van Hermann","Person","Botany Master","","","",""
17,17,"31920","Brother Joseph Sylvestre Sauget-Barbier León","Bro. León","Joseph Sylvestre","","Sauget-Barbier León","Person","Botany Master","ASA Botanist ID 101234 | 146141 | 142274","","Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",""
18,17,"8556","Bro Regis","Bro. Regis","","","Regis","Person","Botany Pilot Data","","","",""
19,18,"59546","Nathaniel L. Britton","N. L. Britton","Nathaniel","Lord","Britton","Person","Botany Master","ASA Botanist ID 100068","","","Collector (Botany)"
20,19,"47580","Juan T. Roig y Mesa","J. T. Roig y Mesa","Juan","Tomas","Roig y Mesa","Person","Botany Master","","","J. T. Roig y Mesa",""
21,19,"53049","M. Cremata","M. Cremata","M.","","Cremata","Person","Botany Master","","","",""
22,20,"14211","Allen H. Curtiss","A. H. Curtiss","Allen","Hiram","Curtiss","Person","Botany Master","ASA Botanist ID 137553","","A. Curtiss","Collector (Botany)"
23,21,"14211","Allen H. Curtiss","A. H. Curtiss","Allen","Hiram","Curtiss","Person","Botany Master","ASA Botanist ID 137553","","A. Curtiss","Collector (Botany)"
24,22,"28153","Erik L. Ekman","E. L. Ekman","Erik","Leonard","Ekman","Person","Botany Master","ASA Botanist ID 149789","","E. Ekman","Collector (Botany)"
25,23,"28153","Erik L. Ekman","E. L. Ekman","Erik","Leonard","Ekman","Person","Botany Master","ASA Botanist ID 149789","","E. Ekman","Collector (Botany)"
26,24,"47183","José Blain","J. Blain","José","","Blain","Person","Botany Master","ASA Botanist ID 143438","","Don José Blain",""
27,25,"27550","Ellsworth P. Killip","E. P. Killip","Ellsworth","Paine","Killip","Person","Botany Master","ASA Botanist ID 101393","","","Collector (Botany)"
28,26,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
29,26,"13058","Brother Alain H. Liogier","Bro. A. H. Liogier","Alain","Henri","Liogier","Person","Botany Master","ASA Botanist ID 101226","","A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",""
30,27,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
31,28,"13058","Brother Alain H. Liogier","Bro. A. H. Liogier","Alain","Henri","Liogier","Person","Botany Master","ASA Botanist ID 101226","","A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",""
32,28,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
33,29,"31920","Brother Joseph Sylvestre Sauget-Barbier León","Bro. León","Joseph Sylvestre","","Sauget-Barbier León","Person","Botany Master","ASA Botanist ID 101234 | 146141 | 142274","","Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",""
34,29,"13058","Brother Alain H. Liogier","Bro. A. H. Liogier","Alain","Henri","Liogier","Person","Botany Master","ASA Botanist ID 101226","","A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",""
35,29,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
36,30,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
37,31,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
38,32,"31920","Brother Joseph Sylvestre Sauget-Barbier León","Bro. León","Joseph Sylvestre","","Sauget-Barbier León","Person","Botany Master","ASA Botanist ID 101234 | 146141 | 142274","","Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",""
39,32,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
40,32,"66479","Richard A. Howard","R. A. Howard","Richard","Alden","Howard","Person","Botany Master","ASA Botanist ID 102117","","","Collector (Botany)"
41,33,"31920","Brother Joseph Sylvestre Sauget-Barbier León","Bro. León","Joseph Sylvestre","","Sauget-Barbier León","Person","Botany Master","ASA Botanist ID 101234 | 146141 | 142274","","Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",""
42,33,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
43,33,"66479","Richard A. Howard","R. A. Howard","Richard","Alden","Howard","Person","Botany Master","ASA Botanist ID 102117","","","Collector (Botany)"
44,34,"13058","Brother Alain H. Liogier","Bro. A. H. Liogier","Alain","Henri","Liogier","Person","Botany Master","ASA Botanist ID 101226","","A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",""
45,34,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
46,35,"31920","Brother Joseph Sylvestre Sauget-Barbier León","Bro. León","Joseph Sylvestre","","Sauget-Barbier León","Person","Botany Master","ASA Botanist ID 101234 | 146141 | 142274","","Frère Leon
Hermano León
Joseph Sylvestre
Joseph Sylvestre Sauget-Barbier
Sauget y Barbis",""
47,35,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
48,35,"66479","Richard A. Howard","R. A. Howard","Richard","Alden","Howard","Person","Botany Master","ASA Botanist ID 102117","","","Collector (Botany)"
49,36,"13058","Brother Alain H. Liogier","Bro. A. H. Liogier","Alain","Henri","Liogier","Person","Botany Master","ASA Botanist ID 101226","","A. Liogier
Enrique Eugenio Liogier
Enrique Eugenio Liogier Allut
Enrique Eugenio Liogier y Allut
Enrique Liogier
Henri Alain Liogier
Hermano Enrique E. Alain",""
50,36,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
51,37,"6180","Brother Clément","Bro. Clément","","","Clément","Person","Botany Master","ASA Botanist ID 104182 | 105407 | 116870 | 139489","","Bro. Clemente
Augustin Clément Teteau","Collector (Botany)"
