IdeTaxonRef_key,ecatalogue_key,irn,irn
1,1,10,109037
2,2,48607,48606
3,3,287287,95844
4,4,10891,10844
5,5,39436,87721
6,6,4181,4173
7,7,28625,89651
8,8,28521,89651
9,9,28621,89651
10,10,67236,286163
11,11,114487,41292
12,12,40230,107303
13,13,27852,100970
14,14,92418,92417
15,15,96788,96787
16,16,115688,18036
17,17,84384,84378
18,18,577669,71861
19,19,28722,89651
20,20,20269,84378
21,21,20269,84378
22,22,113843,284782
23,23,113842,284782
24,24,86000,85994
25,25,28589,89651
26,26,28521,89651
27,27,28625,89651
28,28,28625,89651
29,29,28625,89651
30,30,28589,89651
31,31,28625,89651
32,32,28521,89651
33,33,28521,89651
34,34,28521,89651
35,35,28521,89651
36,36,114926,89651
37,37,28589,89651
38,38,28589,89651
39,39,28589,89651
40,40,89690,89689
41,41,288860,36859
42,42,28725,89651
43,43,28653,89651
44,44,28653,89651
45,45,114926,89651
46,46,114926,89651
47,47,114926,89651
48,48,114926,89651
49,49,114926,89651
50,50,84383,84381
51,51,84383,84381
52,52,84402,84378
53,53,95657,95655
54,54,686848,26379
55,55,28589,89651
56,56,28589,89651
57,57,28589,89651
58,58,28589,89651
59,59,28589,89651
60,60,28589,89651
61,61,28589,89651
62,62,28589,89651
63,63,28589,89651
64,64,28589,89651
65,65,28589,89651
66,66,28589,89651
67,67,28589,89651
68,68,28589,89651
69,69,28589,89651
70,70,28454,89651
71,71,28454,89651
72,72,28468,89651
73,73,28468,89651
74,74,28468,89651
75,75,117001,89651
76,76,28725,89651
77,77,28725,89651
78,78,28454,89651
79,79,28521,89651
80,80,59651,7
81,81,20272,84378
82,82,84400,84378
83,83,84400,84378
84,84,80805,414527
85,85,84382,84381
86,86,89958,89957
87,87,84401,84400
88,88,84383,84381
89,89,84383,84381
90,90,84380,84379
91,91,84407,84406
92,92,30945,284213
93,93,84407,84406
94,94,84402,84378
95,95,84402,84378
96,96,84405,84378
97,97,84397,84378
98,98,84397,84378
99,99,84381,84378
100,100,84381,84378
101,101,90453,90451
102,102,115747,85994
103,103,84385,84378
104,104,84385,84378
105,105,84394,84378
106,106,84394,84378
107,107,55833,100981
108,108,51546,285324
109,109,84399,84378
110,110,84399,84378
111,111,84387,84378
112,112,84387,84378
113,113,84379,84378
114,114,84379,84378
115,115,84389,84378
116,116,96782,96737
117,117,84392,84378
118,118,84392,84378
119,119,84386,84378
120,120,535977,101032
121,121,84384,84378
122,122,97493,97492
123,123,636805,97324
124,124,28725,89651
125,125,89720,89719
126,126,89720,89719
127,127,291053,84287
128,127,76542,84287
129,128,111780,81941
130,129,671554,89973
131,129,290172,90443
132,130,59804,100400
133,131,28454,89651
134,132,63655,103664
135,132,414236,103664
136,133,549768,104801
137,134,538056,538055
138,135,538341,96737
139,136,28468,89651
140,137,28670,89651
141,138,287215,84644
142,139,28589,89651
143,140,28454,89651
144,141,86000,85994
145,142,36170,85994
146,143,28722,89651
147,144,28722,89651
148,145,731161,66943
149,146,28722,89651
150,147,28726,89651
151,148,417127,286401
152,149,28456,28454
153,150,28456,28454
154,151,28453,89651
155,152,28454,89651
156,153,28653,89651
157,154,28653,89651
158,155,28653,89651
159,156,112931,103702
160,157,28589,89651
161,158,84384,84378
162,159,11397,11383
163,160,98892,98891
164,161,28589,89651
165,162,671554,89973
166,162,290172,90443
167,163,671554,89973
168,163,290172,90443
169,164,28725,89651
170,165,28726,89651
171,166,28737,89651
172,167,28737,89651
