ecatalogue_key,DarImageURL,irn,ObjEcode,ObjObjectNumber,IdeFiledAsFamilyNumber,DarGenus,DarSpecies,DarSubspecies,DarInfraspecificEpithet,DarInfraspecificRank,ColCollectionNumber,ColEarliestDateCollected,ColLatestDateCollected,ColDateCollected,irn,LocElevationASLFromMt,LocElevationASLToMt,LocElevationASLFromFt,LocElevationASLToFt,PolLocality,PolPD1,PolPD2,PolPD3,LatPreferredCentroidLatDec,LatPreferredCentroidLatitude,LatPreferredCentroidLongDec,LatPreferredCentroidLongitude,irn
1,"http://fm-digital-assets.fieldmuseum.org/995/773/VERB_verb_offi_1602055.jpg",3112347,"","1602055","","Verbena","officinalis","","","","121",1849-01-,,"",2973,,,,,"Matanzas","Cuba","Matanzas","",22.6667,"22  40 00 N",-81.1667,"81 10 00 W",2610
2,"http://fm-digital-assets.fieldmuseum.org/170/060/CYCA_micr_calo_931328.jpg",590416,"","931328","","Microcycas","calocoma","","","","",1938,,"",3110,,,,,"Pinar del Río","Cuba","Pinar del Río","",22.5833,"22  35 00 N",-83.6667,"83 40 00 W",2610
3,"http://fm-digital-assets.fieldmuseum.org/167/001/MALP_bani_pauc_170606.jpg",395852,"","170606","","Banisteriopsis","pauciflora","","","","189",1904-11-10,,"",230818,,,,,"La Habana","Cuba","La Habana","",,"",,"",2610
4,"http://fm-digital-assets.fieldmuseum.org/221/956/V0068519F.jpg",274759,"V0068519F","604763","","Borreria","matanzasia","","","","16497",1923-05-31,,"",2973,,,,,"Matanzas","Cuba","Matanzas","",22.6667,"22  40 00 N",-81.1667,"81 10 00 W",2610
5,"http://fm-digital-assets.fieldmuseum.org/55/427/V0054906F.jpg",144386,"V0054906F","184645","","Ipomoea","curtisii","","","","562",1904-12-12,,"",2670,,,,,"near Havana","Cuba","Ciudad de la Habana","",,"",,"",633338
6,"",206363,"","165184","","Anacardium","occidentale","","","","271",1904-01-04,1904-05-,"",148,,,,,"near Nueva Gerona","Cuba","","",,"",,"",2610
7,"",250954,"","","","Erythroxylum","longipes","","","","2137",1860,1864,"",230861,,,,,"","Cuba","Oriente","",,"",,"",3004
8,"",250725,"","","","Erythroxylum","coriaceum","","","","3601",1910-01-18,,"",231348,450,550,1476,1804,"Rio Guayabo, above the fall","Cuba","Oriente","",,"",,"",3004
9,"",250948,"","","","Erythroxylum","lindelieanum","","","","4766",1915-02-25,,"",231355,,,,,"Sierra de Nipe in charrascales ad Rio Canapu","Cuba","Oriente","",,"",,"",3004
10,"http://fm-digital-assets.fieldmuseum.org/995/596/URTI_rous_humi_723716.jpg",3110122,"","723716","","Rousselia","humilis","","","","6260",1927-08-21,,"1927-08-21",2912,,,,,"","Cuba","Cienfuegos","Cienfuegos",22.3000,"22  18 00 N",80.5000,"80 30 00 E",699332
11,"http://fm-digital-assets.fieldmuseum.org/56/558/V0060242F.jpg",344741,"V0060242F","686887","","Laetia","ternstroemioides","","","","1107",1859-01-,1859-07-,"",3004,,,,,"Oriente","Cuba","Oriente","",,"",,"",2610
12,"http://fm-digital-assets.fieldmuseum.org/226/672/V0073902F.jpg",256597,"V0073902F","165371","","Jacquinia","curtissii","","","","463",1904-04-24,,"",148,,,,,"near Nueva Gerona","Cuba","","",,"",,"",2610
13,"http://fm-digital-assets.fieldmuseum.org/45/585/V0046710F.jpg",250280,"V0046710F","165329","","Eragrostis","cubensis","","","","420",1904-03-20,,"",2915,,,,,"","Cuba","","",22.1333,"22  08 00 N",-82.4667,"82 28 00 W",2610
14,"http://fm-digital-assets.fieldmuseum.org/57/020/V0060708F.jpg",145100,"V0060708F","79131","","Salacia","blainii","","","","176",,,"",2915,,,,,"","Cuba","","",22.1333,"22  08 00 N",-82.4667,"82 28 00 W",2610
15,"http://fm-digital-assets.fieldmuseum.org/60/116/V0063918F.jpg",144507,"V0063918F","602496","","Pachyanthus","pedicellatus","","","","16092",1923-01-04,,"",611435,1200,,3937,,"Sierra Maestrra, El Gigante","Cuba","Granma","",,"",,"",633340
16,"http://fm-digital-assets.fieldmuseum.org/995/694/VERB_cith_elli_189072.jpg",3109350,"","189072","","Citharexylum","ellipticum","","","","2698",1906-03-14,,"1906-03-14",230818,,,,,"La Habana","Cuba","La Habana","",,"",,"",2610
17,"http://fm-digital-assets.fieldmuseum.org/137/547/V0075027F.jpg",144904,"V0075027F","2108242","","Copernicia","clarensis","","","","14956",1931-06-29,,"",2630,,,,,"Cerro Calvo","Cuba","","",,"",,"",2610
